frequency_hz,gain_db,phase_deg
1.0,61.87214,179.99566536859984
1.023293,61.87214,179.99555077704082
1.047129,61.87214,179.99549348126132
1.071519,61.87214,179.9953788897023
1.096478,61.87214,179.9952642981432
1.122018,61.87214,179.99514970658424
1.148154,61.87214,179.99503511502522
1.174898,61.87214,179.9949205234662
1.202264,61.87214,179.99480593190717
1.230269,61.87214,179.99469134034814
1.258925,61.87214,179.9945767487891
1.28825,61.87214,179.99440486145056
1.318257,61.87214,179.99429026989154
1.348963,61.87214,179.99417567833248
1.380384,61.87214,179.99400379099396
1.412538,61.87214,179.99388919943493
1.44544,61.87214,179.9937173120964
1.479108,61.87214,179.99360272053738
1.513561,61.87214,179.99343083319883
1.548817,61.87214,179.9933162416398
1.584893,61.87214,179.99314435430128
1.62181,61.87214,179.99297246696273
1.659587,61.87214,179.9928005796242
1.698244,61.87214,179.99262869228565
1.737801,61.87214,179.99245680494712
1.778279,61.87214,179.99228491760857
1.819701,61.87214,179.99211303027005
1.862087,61.87214,179.9919411429315
1.905461,61.87214,179.99176925559294
1.949845,61.87214,179.9915400724749
1.995262,61.87214,179.99136818513637
2.041738,61.87214,179.99113900201831
2.089296,61.87214,179.99096711467976
2.137962,61.87214,179.9907379315617
2.187762,61.87214,179.99050874844366
2.238721,61.87214,179.99033686110513
2.290868,61.87214,179.99010767798708
2.344229,61.87214,179.98987849486903
2.398833,61.87214,179.98959201597145
2.454709,61.87214,179.9893628328534
2.511886,61.87214,179.98913364973535
2.570396,61.87214,179.98884717083777
2.630268,61.87214,179.98861798771972
2.691535,61.87214,179.98833150882217
2.754229,61.87214,179.98810232570412
2.818383,61.87214,179.98781584680654
2.884032,61.87214,179.987529367909
2.951209,61.87214,179.9872428890114
3.019952,61.87214,179.98695641011386
3.090295,61.87214,179.98661263543676
3.162278,61.87214,179.9863261565392
3.235937,61.87214,179.98598238186213
3.311311,61.87214,179.98563860718505
3.388442,61.87214,179.98535212828747
3.467369,61.87214,179.9850083536104
3.548134,61.87214,179.98466457893332
3.630781,61.87214,179.98426350847672
3.715352,61.87214,179.98391973379964
3.801894,61.87214,179.98351866334306
3.890451,61.87214,179.98317488866599
3.981072,61.87214,179.98277381820938
4.073803,61.87214,179.9823727477528
4.168694,61.87214,179.9819716772962
4.265795,61.87214,179.9815133110601
4.365158,61.87214,179.9811122406035
4.466836,61.87214,179.98065387436745
4.570882,61.87214,179.9801955081313
4.677351,61.87214,179.9797371418952
4.786301,61.87214,179.97927877565908
4.897788,61.87214,179.978820409423
5.011872,61.87214,179.9783047474074
5.128614,61.87214,179.97778908539175
5.248075,61.87214,179.97727342337612
5.370318,61.87214,179.97675776136052
5.495409,61.87214,179.97618480356536
5.623413,61.87214,179.9756691415498
5.754399,61.87214,179.97509618375463
5.888437,61.87214,179.9745232259595
6.025596,61.87214,179.97389297238487
6.16595,61.87214,179.97332001458975
6.309573,61.87214,179.97268976101506
6.456542,61.87214,179.97205950744046
6.606934,61.87214,179.9714292538658
6.76083,61.87214,179.97074170451165
6.91831,61.87214,179.9700541551575
7.079458,61.87214,179.96936660580334
7.24436,61.87214,179.96862176066966
7.413102,61.87214,179.9679342113155
7.585776,61.87214,179.96718936618183
7.762471,61.87214,179.96638722526865
7.943282,61.87214,179.965642380135
8.128305,61.87214,179.9648402392218
8.317638,61.87214,179.9639808025291
8.51138,61.87214,179.96317866161593
8.709636,61.87214,179.96231922492322
8.912509,61.87214,179.96140249245101
9.120108,61.87214,179.9605430557583
9.332543,61.87214,179.9596263232861
9.549926,61.87214,179.95865229503443
9.772372,61.87214,179.95767826678266
10.0,61.87214,179.95670423853093
10.23293,61.87214,179.95573021027923
10.47129,61.87214,179.95469888624797
10.71519,61.87214,179.9536102664372
10.96478,61.87214,179.95252164662648
11.22018,61.87214,179.95143302681575
11.48154,61.87214,179.9502871112255
11.74898,61.87214,179.94914119563524
12.02264,61.87214,179.94793798426545
12.30269,61.87214,179.94673477289567
12.58925,61.87214,179.94553156152588
12.8825,61.87214,179.9442137585971
13.18257,61.87214,179.9429532514478
13.48963,61.87214,179.941635448519
13.80384,61.87214,179.94026034981067
14.12538,61.87214,179.93888525110236
14.4544,61.87214,179.93745285661453
14.79108,61.87214,179.9359631663472
15.13561,61.87214,179.93447347607986
15.48817,61.87214,179.93298378581255
15.84893,61.87214,179.93137950398614
16.2181,61.87214,179.9297752221598
16.59587,61.87214,179.92817094033344
16.98244,61.87214,179.92650936272756
17.37801,61.87214,179.92479048934217
17.78279,61.87213,179.92301432017726
18.19701,61.87213,179.92123815101235
18.62087,61.87213,179.91940468606794
19.05461,61.87213,179.91751392534402
19.49845,61.87213,179.91562316462006
19.95262,61.87213,179.9136178123371
20.41738,61.87213,179.91161246005413
20.89296,61.87213,179.90954981199167
21.37962,61.87213,179.9074298681497
21.87762,61.87213,179.90530992430772
22.38721,61.87213,179.9030753889067
22.90868,61.87213,179.90084085350568
23.44229,61.87213,179.89854902232517
23.98833,61.87213,179.8961425995856
24.54709,61.87213,179.89373617684606
25.11886,61.87213,179.89127245832702
25.70396,61.87213,179.88875144402846
26.30268,61.87213,179.88617313395036
26.91535,61.87212,179.88348023231325
27.54229,61.87212,179.88078733067613
28.18383,61.87212,179.87797983747998
28.84032,61.87212,179.8751723442838
29.51209,61.87212,179.87225025952864
30.19952,61.87212,179.869270878994
30.90295,61.87212,179.86623420267978
31.62278,61.87212,179.86314023058605
32.35937,61.87212,179.85993166693336
33.11311,61.87212,179.85666580750112
33.88442,61.87211,179.85334265228934
34.67369,61.87211,179.84990490551854
35.48134,61.87211,179.84640986296824
36.30781,61.87211,179.84285752463848
37.15352,61.87211,179.83919059474962
38.01894,61.87211,179.83540907330175
38.90451,61.87211,179.83157025607437
39.81072,61.8721,179.82767414306747
40.73803,61.8721,179.82366343850154
41.68694,61.8721,179.81953814237664
42.65795,61.8721,179.8153555504722
43.65158,61.8721,179.81105836700868
44.66836,61.87209,179.80664659198618
45.70882,61.87209,179.80212022540462
46.77351,61.87209,179.79753656304362
47.86301,61.87209,179.7928383091235
48.97788,61.87208,179.7879681678649
50.11872,61.87208,179.7830407308268
51.28614,61.87208,179.77799870222964
52.48075,61.87207,179.77284208207345
53.70318,61.87207,179.76751357457874
54.95409,61.87207,179.7621277713045
56.23413,61.87206,179.75657008069177
57.54399,61.87206,179.75089779851996
58.88437,61.87206,179.74511092478915
60.25596,61.87205,179.73915216371975
61.6595,61.87205,179.73307881109142
63.09573,61.87204,179.72689086690397
64.56542,61.87204,179.72053103537803
66.06934,61.87203,179.71399931651356
67.6083,61.87203,179.70735300609002
69.1831,61.87202,179.70053480832794
70.79458,61.87202,179.69354472322735
72.4436,61.87201,179.68644004656775
74.13102,61.87201,179.67910618679008
75.85776,61.872,179.67165773545335
77.62471,61.87199,179.6639801009986
79.43282,61.87199,179.65618787498482
81.28305,61.87198,179.648166465853
83.17638,61.87197,179.6399731693826
85.1138,61.87196,179.6316079855737
87.09636,61.87195,179.62301361864675
89.12509,61.87195,179.61419006860174
91.20108,61.87194,179.60525192699768
93.32543,61.87193,179.5960273064961
95.49926,61.87192,179.58663079865593
97.72372,61.87191,179.57700510769774
100.0,61.8719,179.5671502336215
102.3293,61.87188,179.5570661764272
104.7129,61.87187,179.54675293611484
107.1519,61.87186,179.53621051268442
109.6478,61.87184,179.52538161035648
112.2018,61.87183,179.51432352491042
114.8154,61.87182,179.50303625634632
117.4898,61.8718,179.4914625088847
120.2264,61.87178,179.47960228252552
123.0269,61.87177,179.46745557726874
125.8925,61.87175,179.4550796888939
128.825,61.87173,179.44236002584202
131.8257,61.87171,179.42941117967206
134.8963,61.87169,179.41611855882502
138.0384,61.87167,179.4024821633009
141.2538,61.87165,179.38861658465873
144.544,61.87163,179.37434993555996
147.9108,61.8716,179.35979680756364
151.3561,61.87158,179.34484260911074
154.8817,61.87155,179.32960193176024
158.4893,61.87152,179.31401747973268
162.181,61.87149,179.29803195724855
165.9587,61.87146,179.28164536430782
169.8244,61.87143,179.26491499669
173.7801,61.87139,179.2478408543951
177.8279,61.87136,179.2303083458641
181.9701,61.87132,179.2123747668765
186.2087,61.87128,179.1940401174323
190.5461,61.87124,179.175247101752
194.9845,61.8712,179.15605301561516
199.5262,61.87116,179.13640056324215
204.1738,61.87111,179.11628974463306
208.9296,61.87106,179.09572055978785
213.7962,61.87101,179.07463571292703
218.7762,61.87096,179.05309249983014
223.8721,61.8709,179.0310336247176
229.0868,61.87084,179.00845908758944
234.4229,61.87078,178.98536888844566
239.8833,61.87072,178.96176302728628
245.4709,61.87065,178.93758420833174
251.1886,61.87058,178.9128324315821
257.0396,61.87051,178.8875076970373
263.0268,61.87043,178.86161000469738
269.1535,61.87035,178.83508205878286
275.4229,61.87026,178.80798115507318
281.8383,61.87018,178.78019270200932
288.4032,61.87008,178.75183129115032
295.1209,61.86999,178.7227250351577
301.9952,61.86988,178.6929885255904
309.0295,61.86978,178.66256446666898
316.2278,61.86967,178.63145285839332
323.5937,61.86955,178.59959640498408
331.1311,61.86943,178.56693781066164
338.8442,61.8693,178.53359166698502
346.7369,61.86917,178.4994433823952
354.8134,61.86902,178.46449295689223
363.0781,61.86888,178.4287976862556
371.5352,61.86872,178.3921856831467
380.1894,61.86856,178.35477153912467
389.0451,61.86839,178.31644066263044
398.1072,61.86822,178.27725034944345
407.3803,61.86803,178.23714330378434
416.8694,61.86784,178.19611952565296
426.5795,61.86764,178.15412171926985
436.5158,61.86742,178.11120718041457
446.6836,61.8672,178.06720402174852
457.0882,61.86697,178.02222683483075
467.7351,61.86673,177.97621832388174
478.6301,61.86647,177.92912119312197
489.7788,61.8662,177.88093544255148
501.1872,61.86592,177.8316037763907
512.8614,61.86563,177.7811261946397
524.8075,61.86532,177.72950269729841
537.0318,61.865,177.67667598858736
549.5409,61.86467,177.62264606850653
562.3413,61.86432,177.56729834549685
575.4399,61.86395,177.51069011533792
588.8437,61.86356,177.4528213780297
602.5596,61.86316,177.39357754201322
616.595,61.86273,177.3329586072884
630.9573,61.86229,177.27090727807573
