score,param_M1_W,param_M1_L,param_M3_W,param_M3_L,param_M5_W,param_M5_L,param_M6_W,param_M6_L,param_M7_W,param_M7_L,param_M8_W,param_M8_L,param_Cc,param_Rc,param_VBIAS,gain_db,gbw_mhz,phase_margin,dc_gain_db,gbw_hz
0.13595894999999997,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57,61.87214,15.628473037002655,72.89134910894667,61.87214,15628473.037002655
0.39441862499999997,1.8898613508022225e-05,5.176401798288176e-07,3.4809477020238233e-06,6.813280348997441e-07,1.3086734121169008e-05,1.2775670193203076e-06,6.88930827424685e-05,3.858795825176501e-07,3.589651131859387e-05,5.210863753886443e-07,2.8434878825698823e-06,1.0074516319536857e-06,1.0436331049488575e-12,458.488945892643,0.6599537751118093,27.41085,21.191940619610566,79.01677055123581,27.41085,21191940.619610567
0.3465550194848615,1.5527487881313073e-05,6.787166188579476e-07,6.556522704635449e-06,1.5356622131868923e-06,4.042056961672511e-06,1.5279936031840997e-06,5.264435314396672e-05,4.723861131598757e-07,2.4810640843358998e-05,1.88481920499496e-06,3.4379494467203216e-06,5.686022396632358e-07,1.1684277055433038e-12,1301.7426762516977,0.6414904125467564,34.54482,9.774353220605537,74.49186960902678,34.54482,9774353.220605537
0.2644137,2.6784248530909438e-05,1.3750304556868025e-06,5.891995776210849e-06,1.9268329870744803e-06,7.356041430701776e-06,1.0748097118549875e-06,6.315116411138527e-05,5.899258281374616e-07,6.604337283748619e-05,1.1131934233678318e-06,6.215907958704844e-06,5.327936404623768e-07,1.4430921315938342e-12,576.2043526827393,0.431916790769451,44.74484,21.128202101151718,67.91591999047233,44.74484,21128202.10115172
0.4581345408118394,8.113367029426896e-06,5.7514708637566e-07,3.5016596194597526e-06,1.206952490832094e-06,7.195595492129946e-06,8.35297447300683e-07,2.674027053673191e-05,4.455403775681783e-07,7.327439623260362e-05,1.2277959111900776e-06,5.330823423565726e-06,6.338780852506319e-07,3.2332386457504473e-12,412.4232418905069,0.5517821767030592,31.00256,6.3738503675264235,85.22748535930154,31.00256,6373850.367526423
0.13049422500000002,3.913800047623295e-05,1.2141944801739546e-06,6.1432068960378255e-06,1.2916619146239706e-06,1.5530598830961643e-05,1.4661165774096697e-06,2.747455556397029e-05,3.693469045952398e-07,3.097074518715555e-05,7.247130366827785e-07,2.808669736575327e-06,1.8478138534028513e-06,4.0978370399522825e-12,609.0812450380213,0.662175466117952,62.60077,15.736161591625013,69.14644210020448,62.60077,15736161.591625012
1008330.8284306759,1.138311734078429e-05,1.7765707942146697e-06,5.041426936432265e-06,7.218446717092394e-07,5.949017157214117e-06,1.0887979595773262e-06,2.8788312358269756e-05,5.741556023089002e-07,6.9434167564409e-05,8.698273698733436e-07,2.8466143061284335e-06,1.9931844349709195e-06,2.2706154870811922e-12,318.182235825932,0.41884655016989386,22.86964,1.6691715693240512,92.06391952026061,22.86964,1669171.5693240513
1007374.6298269384,6.2804828790610165e-06,1.1932464823712165e-06,9.866155701631242e-06,8.97709105529053e-07,4.43061437654225e-06,8.486482278452008e-07,7.957100167980289e-05,5.492786699100173e-07,7.68559394019703e-05,1.6489634309228724e-06,2.037299532933726e-06,1.3579624985583513e-06,2.995677790204824e-12,898.0614295314338,0.5067300759810172,31.9983,2.625370173061589,89.75364305053415,31.9983,2625370.173061589
0.4577910080049029,1.8959033182277028e-05,5.836212615189988e-07,4.802597884108723e-06,9.378619037427067e-07,1.8567298279960146e-05,1.6837826029591544e-06,2.8814162777997355e-05,5.369075370078734e-07,2.5620591102947556e-05,1.7718490227148025e-06,8.118884519841886e-06,7.562261184316218e-07,2.7964466038268597e-12,991.661274869624,0.46113570741985394,24.76832,8.257863679803883,77.56198182680055,24.76832,8257863.679803883
1007924.4647562178,2.4411016982916007e-05,1.0561085012494266e-06,9.602313165868741e-06,1.0429770006275534e-06,4.003683420148716e-06,7.836667078081243e-07,2.0547366290782897e-05,7.559660192465291e-07,6.76197065631877e-05,1.5837351135770507e-06,3.2807500583899527e-06,5.418067727856108e-07,4.10868052344822e-12,1431.0342788873922,0.43426138082715154,23.47375,2.0755352437822605,90.85559094238972,23.47375,2075535.2437822607
0.49130855220038616,1.3736089931530901e-05,5.503514215693242e-07,9.259840100715831e-06,1.4456004481995607e-06,4.918150040262593e-06,9.663145275743858e-07,4.285926731002185e-05,4.448574036563663e-07,6.703274818547491e-05,8.98927008143174e-07,2.8123579010525173e-06,1.0559870757003283e-06,3.2374265388223083e-12,461.49638240660465,0.524686516520358,29.05964,5.629765911984554,87.45879079937117,29.05964,5629765.911984554
1001738.6077474079,3.9598562807056096e-05,1.2309363084261047e-06,4.834976956608534e-06,1.0246645485509664e-06,4.860022665156031e-06,6.827336069281675e-07,3.1957867093916734e-05,5.758648921200481e-07,2.7515212396025203e-05,6.785066068804818e-07,2.2420847941636427e-06,1.1993110781461416e-06,1.4455177857317912e-12,1377.0460169079663,0.7438541601014986,48.11924,22.877171893296527,58.26139225259219,48.11924,22877171.89329653
1006501.3520923324,5.793760886431026e-06,6.954454537992299e-07,7.698862007662481e-06,6.729044722629528e-07,4.94927977860181e-06,1.8289662854313155e-06,4.413998644719916e-05,5.250720460455249e-07,5.934962229885356e-05,1.5315516227951612e-06,2.717195047370249e-06,5.719106309678155e-07,2.0012062328120613e-12,750.652209925897,0.58680986721467,28.42557,3.4986479076675034,87.58507456710062,28.42557,3498647.907667503
0.2982351,2.2771471917695357e-05,1.2716741927460776e-06,1.4528970732298215e-05,5.730908400301537e-07,7.646808084318851e-06,8.002957821272151e-07,6.604022670116785e-05,4.39069637386285e-07,2.6034375796108284e-05,9.312413956729426e-07,3.943779337515188e-06,7.356494112208009e-07,1.494883037493762e-12,1400.2452790588165,0.5772522980213828,40.23532,20.03784313481119,75.01986511197187,40.23532,20037843.13481119
1060000.0,2.9980975267964953e-05,1.0722569186682335e-06,2.2146131951619214e-06,1.998011569133258e-06,1.5360954264553623e-05,1.9158604959677577e-06,7.22367990671837e-05,7.089564549791558e-07,2.518600362154882e-05,9.802911821379928e-07,2.8211939660792354e-06,8.7180693498829e-07,1.0989663274904827e-12,692.6650546699909,0.7941235375118905,-25.6403,0.0,0.0,-25.6403,0.0
1005436.2434403102,8.679050806283054e-06,1.4826121134856427e-06,5.002535651983256e-06,8.987644537477537e-07,1.8672235100953642e-05,1.9873491808433074e-06,4.321513436323478e-05,6.389067855964792e-07,2.4787171461334346e-05,7.544073573114672e-07,9.508867256370237e-06,1.116018220758542e-06,2.393195525911658e-12,1172.3682284927834,0.4228661091629933,34.36166,4.563756559689798,87.69878901623042,34.36166,4563756.559689798
0.4594364460069353,1.6847479652148417e-05,1.0039592871183028e-06,1.1148389708615903e-05,6.219478217884117e-07,1.8776542539756062e-05,5.587298993406443e-07,2.5876633217665698e-05,5.789662255396302e-07,5.099744988262518e-05,6.927505181995904e-07,2.4256444514044312e-06,1.7178149456882016e-06,1.48626805259454e-12,972.8748995934735,0.6477526041328413,21.39106,9.205224159722588,86.9750352493175,21.39106,9205224.159722589
0.4062952751905973,1.1955502309207502e-05,1.122989609007808e-06,5.734517721640241e-06,1.826918803434239e-06,5.556880338727443e-06,1.3494612980809096e-06,2.7844104705817157e-05,4.938056783652427e-07,5.074903698428593e-05,7.578552152551658e-07,3.326812862347169e-06,1.4178736582702592e-06,1.1238425243349644e-12,795.771179404162,0.799381776341777,34.71871,7.332575992376107,79.68357476070022,34.71871,7332575.992376107
1008886.4788733233,3.967662588351918e-05,5.534486767815304e-07,3.0729329019006697e-06,7.221652118240064e-07,1.7963059267416394e-05,1.6955206407196826e-06,6.767113025859334e-05,4.835594455674972e-07,2.4888748098231725e-05,1.5883071264169555e-06,6.20559316585147e-06,1.167445766596964e-06,4.898310359293968e-12,1050.1692130239524,0.4031292428608632,6.659747,1.1135211266767155,114.60098213257025,6.659747,1113521.1266767154
1008315.3508242682,2.7345669908007183e-05,7.572058721852187e-07,7.612648240437888e-06,1.8376474418906677e-06,4.965070873053096e-06,5.867660646161772e-07,2.319915013500667e-05,5.599555280763211e-07,2.9174267319175742e-05,1.1564153419786038e-06,6.347743789109906e-06,6.630523222155503e-07,2.775321556036475e-12,543.1790721195323,0.5954127408597507,46.16626,17.203235205770003,51.68464917573185,46.16626,17203235.205770005
1008449.1998656391,3.285264375127218e-05,1.6157538470123369e-06,2.4087781854287533e-06,8.994727905758525e-07,6.24383141770007e-06,5.024637345157181e-07,5.8249208488734067e-05,5.987498909457687e-07,2.875694711202048e-05,1.397125690524908e-06,4.860020061907408e-06,9.046137549873054e-07,1.0156845118999376e-12,297.81701809589714,0.7532425573200572,10.48459,1.5508001343609485,103.59406527732183,10.48459,1550800.1343609486
0.34267605,3.27566021734666e-05,1.0652415285793253e-06,1.0748596705804794e-05,1.1211809469989588e-06,5.076601868350123e-06,5.966228090937808e-07,3.0663379297989644e-05,7.38002837149002e-07,6.030362002914688e-05,1.6487871474482006e-06,8.498677566721635e-06,6.690347613388999e-07,1.4942174464193139e-12,333.63170817332133,0.7120464967485771,34.30986,14.034387286061769,61.63866449960103,34.30986,14034387.28606177
0.4621370974498751,3.143570469374381e-05,8.782811707760715e-07,6.984685258716557e-06,6.194701524502788e-07,1.7865654413271395e-05,1.6577326922438687e-06,7.740421158029184e-05,6.878092108730153e-07,6.787274724063813e-05,5.174791798489926e-07,6.5443492433211595e-06,7.92438531115695e-07,4.4731388979824615e-12,1242.9056806182807,0.7456256113501118,31.93096,5.935228102004998,95.39656091373303,31.93096,5935228.102004997
0.419997825,2.6986688373033026e-05,7.237741159402337e-07,9.773068176278168e-06,5.808313595487166e-07,1.6280900095943044e-05,1.6439728834813706e-06,2.7223780703719337e-05,6.910102938207398e-07,3.7858217078796686e-05,7.633315540044965e-07,7.193705304595541e-06,6.854821362601191e-07,1.0388210230091501e-12,451.06872482602125,0.5313047804790827,24.00029,16.744580070129288,72.940570192056,24.00029,16744580.070129288
1005518.587465497,3.016883164695693e-05,1.9102721755810724e-06,3.5097926845550425e-06,1.216691556887993e-06,7.610675294298416e-06,1.9484128112929203e-06,4.205949316148268e-05,7.621109254684203e-07,2.346781466651291e-05,1.9195940176248977e-06,2.6658980863451373e-06,1.8987745677753995e-06,1.5330383690645194e-12,340.9233113791244,0.5738255034258578,31.40869,4.481412534503029,78.4482381529473,31.40869,4481412.534503029
1004160.1381995183,2.274635190105521e-05,7.723649645356462e-07,6.784219341638215e-06,1.0159617727542207e-06,7.435326517642554e-06,1.1120148753236604e-06,2.8470049713625398e-05,6.340162186377867e-07,2.004694720407428e-05,1.8039387201054235e-06,4.757642339482345e-06,1.3555327770890536e-06,3.300660448669253e-12,1071.8170557628994,0.5456885887125057,54.54596,14.053290847449672,55.839861800481685,54.54596,14053290.847449671
0.45861852276832876,5.783125972135592e-06,1.2556856731262472e-06,3.890229800504513e-06,7.726201935569123e-07,1.566019750075134e-05,1.3561422601742576e-06,3.0327877544274097e-05,4.608488958536683e-07,3.522954439241603e-05,8.734522700659063e-07,3.2187267835093155e-06,5.964923737719652e-07,1.96733978986713e-12,1422.472771949238,0.6709271781090932,35.23184,5.085707089266851,87.14796467904667,35.23184,5085707.089266851
0.2545878,3.2680196024952325e-05,1.1736724471110977e-06,3.6675798086717326e-06,1.0687129652361673e-06,4.002614192834414e-06,7.442336016363842e-07,3.62951379597478e-05,5.72049967265662e-07,4.956807552446868e-05,9.526224017785744e-07,4.07461361957574e-06,6.724052071142331e-07,2.1416226454378677e-12,1371.5350735767304,0.7184099040507121,46.05496,13.842641056232289,78.2491908912788,46.05496,13842641.056232288
0.3949714916949378,7.11568321091783e-06,5.623698181156179e-07,5.650437593197509e-06,1.2023706609008973e-06,6.860354022461814e-06,1.5549270841897023e-06,5.665786643117837e-05,6.160551891966658e-07,2.7307198864618313e-05,6.589586601104725e-07,2.080188106816065e-06,7.020691733031988e-07,2.1483550278242704e-12,1304.6590030121515,0.4291312916738277,33.54818,8.13668633220249,88.12535066448842,33.54818,8136686.33220249
1007154.6436991886,1.1837160372393876e-05,1.1970892863741404e-06,2.959189242826053e-06,1.3128558338402704e-06,8.863694994672607e-06,7.012344986010128e-07,4.9661093269274795e-05,3.6159746262173887e-07,5.664422796597667e-05,1.4540656195566807e-06,2.3742766356546027e-06,9.014331356043285e-07,1.3272096009154134e-12,1445.3558549634017,0.6071831001774963,17.54926,2.8453563008114364,95.53849296465309,17.54926,2845356.3008114365
0.41719522351442406,5.55036731611224e-06,7.063213248613904e-07,1.1050356051220917e-05,9.414286417502237e-07,1.4528679951399237e-05,1.2615133424952869e-06,7.866843623623422e-05,5.791591385380656e-07,7.464673798527158e-05,1.7205285734268098e-06,5.361120790631502e-06,1.3552395875173498e-06,2.253329985897701e-12,1279.7399206378395,0.6191487802443314,33.67632,7.209295059423039,87.77906671754795,33.67632,7209295.059423039
0.311115,3.230201828335047e-05,1.401829494796167e-06,5.204742020682836e-06,7.161745201663524e-07,5.954881885657516e-06,1.2102649148604564e-06,5.7822355008880043e-05,5.458618621611267e-07,4.768372275300198e-05,7.316344402552322e-07,2.2656276480447834e-06,7.430114259858653e-07,1.5485338727054986e-12,615.622438944391,0.6160608890073827,38.518,12.529585241386735,79.64061487499096,38.518,12529585.241386736
0.4182798471400628,6.6670580071914344e-06,6.889747229139495e-07,8.096150918302508e-06,1.3313023746454313e-06,4.435616919335511e-06,8.797702608628786e-07,4.24340471112916e-05,5.017504864940901e-07,2.664137934172267e-05,8.952031609342679e-07,8.579953828827088e-06,1.1236235975889554e-06,3.0630190996673776e-12,1313.7516419951146,0.7062378304472279,39.25903,5.4910971143974905,85.73020911464845,39.25903,5491097.11439749
1010139.5607400122,1.1027785314408745e-05,5.041036016857715e-07,4.062940833237678e-06,1.4210430391026195e-06,1.5797723526562296e-05,1.8749611165770933e-06,3.575246131896157e-05,6.539304800390462e-07,4.2641690074404426e-05,1.1538895833322215e-06,2.852199686380335e-06,6.777585294200494e-07,2.016676669514507e-12,237.73226593072982,0.534451817479353,55.10654,21.70270970227254,49.860439259987736,55.10654,21702709.702272538
0.5183012832039797,2.052561792506474e-05,8.757757079107515e-07,2.789036813205364e-06,9.557997520673001e-07,4.912108978348725e-06,1.1846935524387544e-06,2.076181980735157e-05,4.931099830944963e-07,4.37348688044113e-05,5.191430713089402e-07,5.627204780489978e-06,6.034888304283203e-07,2.102390393441919e-12,265.3700235352158,0.5516415456752559,27.48178,5.0234146718408095,86.90465141778314,27.48178,5023414.671840809
0.37820174623069724,7.764585698192017e-06,7.865942851256592e-07,9.271555995734777e-06,8.457202517326638e-07,1.3418139447707509e-05,1.5843033197942485e-06,2.8373479133195454e-05,3.843320101057626e-07,2.054470441619867e-05,1.0561670920298499e-06,9.998516667107469e-06,8.122077437830822e-07,2.8472868324040798e-12,1215.6029644941634,0.6607018620975558,38.46353,7.332871150772111,80.6204667110299,38.46353,7332871.1507721115
0.42153682194633924,2.399443117550287e-05,1.8650618381993153e-06,2.988703321586375e-06,5.143277980140968e-07,5.111762647868126e-06,5.956108539175241e-07,5.0592295145752964e-05,5.647810212738534e-07,2.7055634621483014e-05,1.3185295849249338e-06,6.87177233678991e-06,6.309415589746655e-07,2.657344029696099e-12,1172.3033475418715,0.44581314855155907,35.05224,6.6228551221464285,84.90362115051276,35.05224,6622855.122146429
0.17299844999999997,2.747088755181057e-05,1.9045386240628544e-06,2.4866978800355574e-06,5.181195229307172e-07,6.608589070567665e-06,1.2787148418108122e-06,7.549314641218694e-05,4.941482906975628e-07,5.389044164849184e-05,5.5555165170315e-07,6.0778329177204874e-06,1.1929096603954364e-06,1.1782188209596387e-12,1204.2251504365913,0.7401172956355185,56.93354,21.813325288941623,72.04470925061466,56.93354,21813325.28894162
0.31828387212703424,1.7425920234100394e-05,5.913606407369836e-07,1.451958076680578e-05,1.4796651126174716e-06,6.994312119151963e-06,9.054808445980332e-07,3.342996286658946e-05,5.392167458674756e-07,3.2097531507544196e-05,1.6235493680309505e-06,7.513021662367831e-06,5.787762956837162e-07,4.694201090768687e-12,1026.2606379318797,0.7314829244009833,42.73639,8.447728114918629,74.2972217296426,42.73639,8447728.114918629
0.2476517278475287,2.176373144090629e-05,9.144487931425612e-07,8.77295378334372e-06,1.9065276607499003e-06,6.177880239706802e-06,1.533043291371824e-06,4.2173764739276364e-05,5.296309850379569e-07,3.6582381219321244e-05,1.3775001048513563e-06,3.0805653490401703e-06,1.628367485768325e-06,3.807641607557516e-12,312.6617674723767,0.7526524736011089,54.23765,7.82263588609885,69.5819949771719,54.23765,7822635.8860988505
1007908.2784528284,8.302342288170402e-06,9.522530661358654e-07,6.840811568398559e-06,8.455597496402657e-07,4.1890971174479736e-06,1.6266520377971124e-06,2.573407121626069e-05,4.2644498394298433e-07,6.0446747507728456e-05,8.014462576371737e-07,8.247973477290471e-06,1.3216750357716895e-06,1.5599240276265783e-12,213.19644877028026,0.7792250311108125,24.75891,2.091721547171569,89.65700063104146,24.75891,2091721.5471715692
